Tickersymbol,Security,SECfilings,GICSSector,GICSSubIndustry,AddressofHeadquarters,Datefirstadded,CIK,AccountsPayable,AccountsReceivable,Add'l income/expenseitems,AfterTaxROE,CapitalExpenditures,CapitalSurplus,CashRatio,CashandCashEquivalents,ChangesinInventories,CommonStocks,CostofRevenue,CurrentRatio,DeferredAssetCharges,DeferredLiabilityCharges,Depreciation,EarningsBeforeInterestandTax,EarningsBeforeTax,EffectofExchangeRate,EquityEarnings/LossUnconsolidatedSubsidiary,FixedAssets,Goodwill,GrossMargin,GrossProfit,IncomeTax,IntangibleAssets,InterestExpense,Inventory,Investments,Liabilities,Long-TermDebt,Long-TermInvestments,MinorityInterest,Misc.Stocks,NetBorrowings,NetCashFlow,NetCashFlow-Operating,NetCashFlows-Financing,NetCashFlows-Investing,NetIncome,NetIncomeAdjustments,NetIncomeApplicabletoCommonShareholders,NetIncome-Cont.Operations,NetReceivables,Non-RecurringItems,OperatingIncome,OperatingMargin,OtherAssets,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquity,OtherFinancingActivities,OtherInvestingActivities,OtherLiabilities,OtherOperatingActivities,OtherOperatingItems,Pre-TaxMargin,Pre-TaxROE,ProfitMargin,QuickRatio,ResearchandDevelopment,RetainedEarnings,SaleandPurchaseofStock,"Sales,GeneralandAdmin.",Short-TermDebt /CurrentPortionofLong-TermDebt,Short-TermInvestments,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalEquity,TotalLiabilities,TotalLiabilities&Equity,TotalRevenue,TreasuryStock,EarningsPerShare,EstimatedSharesOutstanding,YOYReturns
AMAT,Applied Materials Inc,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",0,6951,1833000000,-61000000,8000000,18,-215000000,6575000000,131,4797000000,-266000000,11000000,5707000000,244,145000000,0,371000000,1701000000,1598000000,0,0,892000000,3302000000,41,3952000000,221000000,762000000,103000000,1833000000,-62000000,-334000000,3342000000,946000000,0,0,2581000000,1795000000,1163000000,913000000,-281000000,1377000000,50000000,1377000000,1377000000,1739000000,0,1693000000,18,0,724000000,765000000,-92000000,0,-4000000,555000000,26000000,0,17,21,14,196,1451000000,13967000000,-1237000000,808000000,1200000000,168000000,15308000000,9261000000,3798000000,7613000000,7695000000,15308000000,9659000000,-12848000000,1.13,1218584071,0.7284
ADSK,Autodesk Inc,reports,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,499300000,-17300000,0,4,-75500000,0,145,1410600000,0,1773100000,342100000,191,100000000,256300000,145900000,120700000,83000000,-5000000,0,159200000,1456200000,86,2170100000,1200000,86500000,37700000,0,-196100000,376000000,743100000,273000000,0,0,0,-442400000,708100000,-239900000,-905600000,81800000,165600000,81800000,81800000,544000000,3100000,120700000,5,163500000,100900000,900800000,-53300000,-43400000,-634000000,291000000,-43900000,39800000,3,4,3,191,725200000,499400000,-197000000,1281300000,0,615800000,4909700000,2671300000,1400100000,2219200000,2690500000,4909700000,2512200000,0,0.36,227222222.2,0.2146
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/1981,8670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2131
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1441634,867000000,-187000000,26000000,29,-593000000,0,163,1822000000,62000000,2547000000,3271000000,336,0,0,984000000,1658000000,1467000000,0,0,1460000000,1674000000,52,3553000000,76000000,3277000000,191000000,524000000,-14000000,37000000,3826000000,0,0,0,-1817000000,218000000,2318000000,-1859000000,-241000000,1364000000,6000000,1364000000,1391000000,1019000000,137000000,1632000000,24,345000000,394000000,206000000,-73000000,0,366000000,856000000,52000000,249000000,21,31,20,289,1049000000,2240000000,241000000,486000000,46000000,0,10515000000,3759000000,1119000000,4714000000,5801000000,10515000000,6824000000,0,0,0,0.2178
CA,"CA, Inc.",reports,Information Technology,Systems Software,"Islandia, New York",7/31/1987,356028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1123
CSCO,Cisco Systems,reports,Information Technology,Networking Equipment,"San Jose, California",12/1/1993,858877,4215000000,-1047000000,997000000,15,-1227000000,0,258,6877000000,-116000000,43592000000,19480000000,313,4454000000,5359000000,2442000000,11767000000,11201000000,0,0,3332000000,24469000000,60,29681000000,2220000000,2376000000,566000000,1627000000,-8379000000,1497000000,21457000000,3858000000,9000000,0,4469000000,151000000,12552000000,-2313000000,-10088000000,8981000000,1165000000,8981000000,8981000000,9835000000,484000000,10770000000,22,1516000000,1490000000,15300000000,61000000,-14000000,-482000000,3438000000,-370000000,359000000,23,19,18,306,6207000000,16045000000,-2810000000,11861000000,3897000000,53539000000,1.13E+11,73368000000,23412000000,59698000000,53675000000,1.13E+11,49161000000,0,1.76,5102840909,0.1126
CTXS,Citrix Systems,reports,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",1/0/1900,877890,431215000,-7226000,5945000,16,-160825000,4566919000,52,368518000,703000,299000,614364000,100,215196000,414314000,428892000,356030000,311877000,-10313000,0,373817000,1962722000,81,2661230000,-7484000,283418000,44153000,10521000,205987000,229152000,1311071000,891964000,0,0,-7569000,108369000,1034548000,-691451000,-224415000,319361000,74273000,319361000,319361000,669276000,167548000,350085000,11,56449000,132784000,1249754000,-28527000,-46336000,-269577000,87717000,-10607000,41595000,10,16,10,100,563975000,3474625000,-643419000,1538027000,0,502852000,5467517000,1683951000,1680969000,1973446000,3494071000,5467517000,3275594000,-6039870000,2.01,158886069.7,0.1805
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1/0/1900,1058290,1983700000,-322400000,39300000,17,-272800000,453000000,182,2125200000,0,6100000,7440200000,291,347800000,52600000,330000000,2181300000,2163600000,-19500000,0,1271400000,2404700000,40,4975800000,540000000,864300000,17700000,0,-1096100000,502200000,881200000,0,0,0,-353400000,115100000,2153300000,-648100000,-1370600000,1623600000,91000000,1623600000,1623600000,2621600000,0,2142000000,17,268600000,337500000,323700000,-106200000,0,-1700000,139800000,-71100000,325200000,17,23,13,291,0,8925200000,-328400000,2508600000,406300000,2824300000,13065400000,7908600000,2713700000,9278100000,3787300000,13065400000,12416000000,0,2.67,608089887.6,-0.1323
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",1/0/1900,24741,2242000000,162000000,5000000,7,-1250000000,13352000000,163,4500000000,-77000000,840000000,5458000000,294,2056000000,0,1184000000,1626000000,1486000000,-330000000,299000000,12648000000,1380000000,40,3653000000,147000000,706000000,140000000,1385000000,633000000,-146000000,3890000000,1975000000,75000000,0,1212000000,-809000000,2809000000,-2603000000,-685000000,1339000000,224000000,1339000000,1638000000,1372000000,0,1322000000,15,1493000000,912000000,0,-1811000000,0,-68000000,2960000000,123000000,54000000,16,8,15,245,769000000,13832000000,-3126000000,1508000000,572000000,100000000,28527000000,8269000000,2814000000,18788000000,9739000000,28527000000,9111000000,-9725000000,1.02,1312745098,0.3276
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Other Services,"Falls Church, Virginia",12/1/2015,1646383,680696000,7996000,-5608000,25,-70183000,0,1,4979000,0,0,3282301000,113,0,153297000,146764000,450572000,428708000,0,0,436732000,802582000,19,787445000,160996000,68666000,21864000,0,0,3066000,129933000,0,27961000,0,-28902000,1000000,486938000,-369289000,-116649000,265835000,26618000,251757000,267712000,696727000,0,456180000,11,58931000,92665000,0,1067087000,0,-46466000,80957000,36659000,137058000,11,40,7,113,0,0,-340387000,194207000,21351000,0,2161282000,794371000,702047000,1067087000,1094195000,2161282000,4069746000,0,0,0,0.0613
EBAY,eBay Inc.,reports,Information Technology,Internet Software & Services,"San Jose, California",0,1065088,2157000000,-105000000,0,26,-668000000,14538000000,271,1832000000,0,2000000,1771000000,349,0,2092000000,687000000,2406000000,2406000000,-364000000,0,1554000000,4451000000,79,6821000000,459000000,90000000,0,0,37000000,-1000000,6749000000,3391000000,0,0,-850000000,-4496000000,4033000000,-4554000000,-3611000000,1725000000,571000000,1725000000,1947000000,619000000,0,2197000000,26,365000000,1154000000,106000000,526000000,-1850000000,-2980000000,75000000,0,41000000,28,37,20,349,923000000,7713000000,-1928000000,3660000000,0,4299000000,17755000000,7904000000,2263000000,6576000000,11179000000,17755000000,8592000000,-16203000000,1.43,1206293706,0.0804
EA,Electronic Arts,reports,Information Technology,Home Entertainment Software,"Redwood City, California",0,712515,862000000,-54000000,0,29,-95000000,2127000000,110,2068000000,19000000,3000000,1429000000,135,13000000,80000000,220000000,925000000,925000000,-56000000,0,459000000,1713000000,68,3086000000,50000000,111000000,0,36000000,-375000000,-222000000,31000000,0,0,0,0,286000000,1067000000,-255000000,-470000000,875000000,141000000,875000000,875000000,416000000,0,948000000,21,131000000,247000000,1283000000,2000000,0,0,253000000,88000000,14000000,20,30,19,134,1094000000,904000000,-277000000,1030000000,602000000,953000000,6147000000,3720000000,2747000000,3036000000,3111000000,6147000000,4515000000,0,2.81,311387900.4,0.1461
FFIV,F5 Networks,reports,Information Technology,Networking Equipment,"Seattle, Washington",12/20/2010,1048695,181215000,-38680000,8445000,28,-60307000,0,103,390460000,-9246000,10159000,332261000,157,6492000,210303000,52583000,561344000,561344000,-7982000,0,95909000,555965000,83,1587562000,196330000,0,0,33717000,56744000,186082000,0,397656000,0,0,0,116940000,684541000,-556902000,-10699000,365014000,134752000,365014000,365014000,329562000,0,552899000,29,68128000,50519000,573908000,-15288000,0,-7136000,30136000,-5964000,0,29,43,19,153,296583000,1321857000,-566419000,738080000,0,383882000,2312290000,1188140000,755123000,1316728000,995562000,2312290000,1919823000,0,5.07,71994871.79,0.4925
FB,Facebook,reports,Information Technology,Internet Software & Services,"Menlo Park, California",12/23/2013,1326801,1645000000,-973000000,0,8,-2523000000,34886000000,958,4907000000,0,0,2867000000,1125,0,0,1945000000,6194000000,6194000000,-155000000,0,5687000000,18026000000,84,15061000000,2506000000,3246000000,0,0,-6700000000,1904000000,107000000,0,0,0,-119000000,592000000,10320000000,-139000000,-9434000000,3669000000,3903000000,3669000000,3669000000,2559000000,0,6225000000,35,796000000,659000000,56000000,-455000000,-20000000,-211000000,3157000000,-147000000,0,35,14,20,1125,4816000000,9787000000,0,4020000000,224000000,13527000000,49407000000,21652000000,1925000000,44218000000,5189000000,49407000000,17928000000,0,1.31,2800763359,0.0992
